DIGITAL REPORT
Report Taken on : 21/Feb/21 19:40:57
From: 21/Feb/21  00:00:00
To: 21/Feb/21  19:37:50 
SlNo     STATION NAME          SIGNAL NAME               SIGNAL STATUS               SIGNAL TIME            
208      STN-E           1T2xl                     DOWN                        02/21/2021 08:24:54:171     
209      STN-E           22 Dxl                    DOWN                        02/21/2021 08:24:54:359     
210      STN-E           22DECxl                   DOWN                        02/21/2021 08:24:54:437     
211      STN-E           1T1xl                     DOWN                        02/21/2021 08:24:58:359     
212      STN-E           1Aplm                     DOWN                        02/21/2021 08:25:05:640     
213      STN-E           1T2xl                     UP                          02/21/2021 08:25:16:234     
214      STN-E           1T1xl                     UP                          02/21/2021 08:25:23:578     
215      STN-E           1Aplm                     UP                          02/21/2021 08:25:26:109     
216      STN-E           WRxl                      UP                          02/21/2021 08:35:56:000     
217      STN-E           102 Aoswe                  DOWN                        02/21/2021 08:35:56:140     
218      STN-E           102Bxyz                   UP                          02/21/2021 08:35:58:703     
219      STN-E           WRxl                      DOWN                        02/21/2021 08:36:41:515     
220      STN-E           WNxl                      UP                          02/21/2021 08:36:42:015     
221      STN-E           102Bxyz                   DOWN                        02/21/2021 08:36:42:140     
222      STN-E           102 Aoswe                  UP                          02/21/2021 08:36:44:515     
223      STN-E           WNxl                      DOWN                        02/21/2021 08:36:52:687     
224      STN-E           WRxl                      UP                          02/21/2021 08:36:56:265     
225      STN-E           102 Aoswe                  DOWN                        02/21/2021 08:36:56:406     
226      STN-E           102Bxyz                   UP                          02/21/2021 08:36:58:968     
227      STN-E           102Axyz                   UP                          02/21/2021 08:36:59:171     
228      STN-E           WRxl                      DOWN                        02/21/2021 08:37:06:843     
229      STN-E           EUxl                      UP                          02/21/2021 08:37:15:187     
230      STN-E           1Hxl                      UP                          02/21/2021 08:37:16:250     
231      STN-E           1HECxl                    UP                          02/21/2021 08:37:17:031     
232      STN-W           109WRxl                   UP                          02/21/2021 08:42:36:187     
233      STN-W           109 Aoswe                  DOWN                        02/21/2021 08:42:36:312     
234      STN-W           109 Boswe                  DOWN                        02/21/2021 08:42:36:312     
235      STN-W           109Axyz                   UP                          02/21/2021 08:42:38:640     
236      STN-W           109 Bxyz                  UP                          02/21/2021 08:42:39:515     
237      STN-W           109WRxl                   DOWN                        02/21/2021 08:42:47:125     
238      STN-E           1Aplm                     DOWN                        02/21/2021 08:45:04:328     
239      STN-E           1T1xl                     DOWN                        02/21/2021 08:45:11:250     
240      STN-E           1Hxl                      DOWN                        02/21/2021 08:45:11:453     
241      STN-E           EUxl                      DOWN                        02/21/2021 08:45:11:453     
242      STN-E           1HECxl                    DOWN                        02/21/2021 08:45:11:546     
243      STN-E           1T2xl                     DOWN                        02/21/2021 08:45:33:500     
244      STN-E           1Aplm                     UP                          02/21/2021 08:47:09:468     
245      STN-E           1T1xl                     UP                          02/21/2021 08:47:52:062     
246      STN-E           1T2xl                     UP                          02/21/2021 08:48:35:062     
247      STN-W           109 WNxl                  UP                          02/21/2021 08:48:56:093     
248      STN-W           109 Bxyz                  DOWN                        02/21/2021 08:48:56:218     
249      STN-W           109Axyz                   DOWN                        02/21/2021 08:48:56:234     
250      STN-W           109 Aoswe                  UP                          02/21/2021 08:48:58:531     
251      STN-W           109 Boswe                  UP                          02/21/2021 08:48:59:343     
252      STN-W           109 WNxl                  DOWN                        02/21/2021 08:49:07:031     
253      STN-E           WNxl                      UP                          02/21/2021 08:52:57:796     
254      STN-E           102Axyz                   DOWN                        02/21/2021 08:52:57:921     
255      STN-E           102Bxyz                   DOWN                        02/21/2021 08:52:57:937     
256      STN-E           102 Aoswe                  UP                          02/21/2021 08:53:00:750     
257      STN-E           WNxl                      DOWN                        02/21/2021 08:53:08:421     
258      STN-W           111 WRxl                  UP                          02/21/2021 08:56:30:218     
259      STN-W           111 oswe                   DOWN                        02/21/2021 08:56:30:343     
260      STN-W           111 xyz                   UP                          02/21/2021 08:56:32:421     
261      STN-W           111 WRxl                  DOWN                        02/21/2021 08:56:38:953     
262      STN-E           22 Dxl                    UP                          02/21/2021 09:08:41:796     
263      STN-E           22DECxl                   UP                          02/21/2021 09:08:42:828     
264      STN-E           1T2xl                     DOWN                        02/21/2021 09:14:03:562     
265      STN-E           22 Dxl                    DOWN                        02/21/2021 09:14:03:765     
266      STN-E           22DECxl                   DOWN                        02/21/2021 09:14:03:859     
267      STN-E           1T1xl                     DOWN                        02/21/2021 09:14:12:453     
268      STN-E           1Aplm                     DOWN                        02/21/2021 09:14:27:609     
269      STN-E           1T2xl                     UP                          02/21/2021 09:14:55:890     
270      STN-E           1T1xl                     UP                          02/21/2021 09:15:09:421     
271      STN-E           1Aplm                     UP                          02/21/2021 09:15:14:078     
272      STN-W           109WRxl                   UP                          02/21/2021 09:21:00:437     
273      STN-W           109 Aoswe                  DOWN                        02/21/2021 09:21:00:562     
274      STN-W           109 Boswe                  DOWN                        02/21/2021 09:21:00:562     
275      STN-W           109Axyz                   UP                          02/21/2021 09:21:02:890     
276      STN-W           109 Bxyz                  UP                          02/21/2021 09:21:03:765     
277      STN-W           109WRxl                   DOWN                        02/21/2021 09:21:11:406     
278      STN-W           109 WNxl                  UP                          02/21/2021 09:23:08:359     
279      STN-W           109 Bxyz                  DOWN                        02/21/2021 09:23:08:500     
280      STN-W           109Axyz                   DOWN                        02/21/2021 09:23:08:515     
281      STN-W           109 Aoswe                  UP                          02/21/2021 09:23:10:843     
282      STN-E           WRxl                      UP                          02/21/2021 09:23:11:437     
283      STN-E           101Aoswe                   DOWN                        02/21/2021 09:23:11:562     
284      STN-E           101Boswe                   DOWN                        02/21/2021 09:23:11:578     
285      STN-W           109 Boswe                  UP                          02/21/2021 09:23:11:593     
286      STN-E           101Axyz                   UP                          02/21/2021 09:23:14:203     
287      STN-E           101Bxyz                   UP                          02/21/2021 09:23:14:250     
288      STN-W           109 WNxl                  DOWN                        02/21/2021 09:23:19:359     
